IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|STD_SIGN_NO|SIGN_STRRM_NO|SZ|WD|HT|SQ_FT_NO|COLOR|STD_SIGN_TYP|SIGN_DESC|SIGN_STD_GRPH|SHOW|MMS_NO
SIGN|S|24-MAR-2015|R14-1-18|R14-1|24x18|24|18|432|BLK/SIL|REGLTY|TRUCK ROUTE||Y|
SIGN|S|24-MAR-2015|R14-3-24|R14-3|24x24|24|24|576|BLK/RED/SIL|REGLTY|HAZARDOUS MATERIAL PROHIBITED||Y|
SIGN|S|24-MAR-2015|R1-4-6|R1-4|18x6|18|6|108|SIL/RED|REGLTY|ALL WAY||Y|
SIGN|S|24-MAR-2015|R15-1-24|R15-1|24x24|24|24|576|BLK/SIL|REGLTY|RAILROAD CROSSING (CROSSBUCK)||Y|
SIGN|S|24-MAR-2015|R15-1-48|R15-1|9X48|9|48|432|BLK/WHT|REGLTY|RAILROAD CROSSING (CROSSBUCK)||Y|
SIGN|S|24-MAR-2015|R15-2-9|R15-2|13-1/2x9|13.5|9|121.5|BLK/SIL|REGLTY|X TRACKS||Y|
SIGN|S|24-MAR-2015|R15-2a-9|R15-2|27x9|27|9|243|BLK/WHT|REGLTY|X TRACKS||Y|
SIGN|S|24-MAR-2015|R15-3-6|R15-3|12x6|12|6|72|BLK/SIL|REGLTY|EXEMPT||Y|
SIGN|S|24-MAR-2015|R2-1-24-10|R2-1|18x24|18|24|432|BLK/SIL|REGLTY|SPEED LIMIT 10||Y|
SIGN|S|24-MAR-2015|R2-1-24-20|R2-1|18x24|18|24|432|BLK/SIL|REGLTY|SPEED LIMIT 20||Y|
SIGN|S|24-MAR-2015|R2-1-24-25|R2-1|18x24|18|24|432|BLK/SIL|REGLTY|SPEED LIMIT 25||Y|
SIGN|S|24-MAR-2015|R2-1-36-20|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 20||Y|
SIGN|S|24-MAR-2015|R2-1-36-25|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 25||Y|
SIGN|S|24-MAR-2015|R2-1-36-30|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 30||Y|
